Libellé;Indice d'Ensemble des prix à la consommation CVS (mensuel, ensemble des ménages, Métropole + DOM, base 1998)
IdBank;000641333
Dernière mise à jour;11 Avril 2013
Mode de représentation;Indice
Correction;Corrigé des variations saisonnières (CVS)
Base de l'indice;100 en 1998
Périodicité;Mensuelle
Date de début;Janvier 1990
Date de fin;Mars 2013
Zone géographique;France (France métropolitaine + DOM)
Unité de mesure;Sans objet
Puissance;0
Traitement des taxes;T.T.C. (Toutes Taxes Comprises)
