Libellé;;Indice d'Ensemble des prix à la consommation CVS (mensuel, ensemble des ménages, Métropole + DOM, base 1998)
IdBank;;000641333
Année;Mois
2013;3;127,10
2013;2;126,78
2013;1;126,83
2012;12;126,74
2012;11;126,61
2012;10;126,73
2012;9;126,54
2012;8;126,50
2012;7;126,04
2012;6;125,98
2012;5;125,84
2012;4;125,83
2012;3;125,87
2012;2;125,43
2012;1;125,32
2011;12;125,08
2011;11;124,84
2011;10;124,43
2011;9;124,15
2011;8;123,90
2011;7;123,61
2011;6;123,55
2011;5;123,37
2011;4;123,24
2011;3;123,01
2011;2;122,55
2011;1;122,35
2010;12;122,20
2010;11;121,85
2010;10;121,64
2010;9;121,44
2010;8;121,20
2010;7;121,21
2010;6;120,95
2010;5;120,93
2010;4;120,82
2010;3;120,71
2010;2;120,61
2010;1;120,30
2009;12;120,04
2009;11;119,89
2009;10;119,70
2009;9;119,49
2009;8;119,51
2009;7;119,16
2009;6;119,12
2009;5;118,96
2009;4;118,88
2009;3;118,92
2009;2;119,11
2009;1;118,99
2008;12;118,97
2008;11;119,39
2008;10;119,93
2008;9;119,86
2008;8;119,72
2008;7;119,99
2008;6;119,71
2008;5;119,27
2008;4;118,78
2008;3;118,63
2008;2;118,11
2008;1;118,15
2007;12;117,79
2007;11;117,45
2007;10;116,77
2007;9;116,35
2007;8;116,06
2007;7;115,79
2007;6;115,61
2007;5;115,44
2007;4;115,33
2007;3;115,02
2007;2;114,85
2007;1;114,87
2006;12;114,83
2006;11;114,62
2006;10;114,43
2006;9;114,58
2006;8;114,73
2006;7;114,52
2006;6;114,29
2006;5;114,25
2006;4;113,90
2006;3;113,66
2006;2;113,64
2006;1;113,42
2005;12;113,20
2005;11;113,00
2005;10;113,20
2005;9;113,10
2005;8;112,70
2005;7;112,40
2005;6;112,20
2005;5;111,90
2005;4;112,00
2005;3;112,00
2005;2;111,60
2005;1;111,10
2004;12;111,40
2004;11;111,30
2004;10;111,10
2004;9;110,80
2004;8;110,70
2004;7;110,50
2004;6;110,40
2004;5;110,20
2004;4;109,90
2004;3;109,80
2004;2;109,70
2004;1;109,40
2003;12;109,20
2003;11;109,00
2003;10;108,80
2003;9;108,50
2003;8;108,10
2003;7;107,90
2003;6;107,70
2003;5;107,40
2003;4;107,60
2003;3;108,00
2003;2;107,90
2003;1;107,30
2002;12;106,90
2002;11;106,60
2002;10;106,40
2002;9;106,20
2002;8;106,20
2002;7;105,90
2002;6;105,60
2002;5;105,50
2002;4;105,50
2002;3;105,20
2002;2;105,10
2002;1;105,10
2001;12;104,60
2001;11;104,40
2001;10;104,50
2001;9;104,30
2001;8;104,30
2001;7;104,20
2001;6;104,10
2001;5;104,00
2001;4;103,40
2001;3;103,10
2001;2;103,00
2001;1;102,80
2000;12;103,30
2000;11;103,20
2000;10;102,80
2000;9;102,80
2000;8;102,40
2000;7;102,20
2000;6;102,00
2000;5;101,70
2000;4;101,60
2000;3;101,80
2000;2;101,60
2000;1;101,60
1999;12;101,30
1999;11;101,00
1999;10;100,80
1999;9;100,60
1999;8;100,60
1999;7;100,40
1999;6;100,40
1999;5;100,40
1999;4;100,40
1999;3;100,20
1999;2;100,20
1999;1;100,00
1998;12;100,00
1998;11;100,00
1998;10;100,00
1998;9;100,00
1998;8;100,10
1998;7;100,10
1998;6;100,10
1998;5;100,00
1998;4;100,00
1998;3;99,90
1998;2;99,90
1998;1;99,80
1997;12;99,80
1997;11;99,90
1997;10;99,60
1997;9;99,60
1997;8;99,50
1997;7;99,30
1997;6;99,20
1997;5;99,10
1997;4;99,00
1997;3;99,00
1997;2;99,10
1997;1;99,10
1996;12;98,80
1996;11;98,60
1996;10;98,60
1996;9;98,30
1996;8;98,10
1996;7;98,30
1996;6;98,20
1996;5;98,20
1996;4;98,10
1996;3;98,00
1996;2;97,50
1996;1;97,40
1995;12;97,20
1995;11;97,00
1995;10;96,90
1995;9;96,80
1995;8;96,60
1995;7;96,10
1995;6;96,10
1995;5;95,90
1995;4;95,80
1995;3;95,70
1995;2;95,60
1995;1;95,50
1994;12;95,20
1994;11;95,10
1994;10;95,10
1994;9;94,90
1994;8;94,70
1994;7;94,70
1994;6;94,50
1994;5;94,40
1994;4;94,20
1994;3;93,90
1994;2;93,90
1994;1;93,80
1993;12;93,80
1993;11;93,70
1993;10;93,60
1993;9;93,40
1993;8;93,30
1993;7;93,20
1993;6;92,90
1993;5;92,80
1993;4;92,70
1993;3;92,60
1993;2;92,30
1993;1;92,10
1992;12;91,90
1992;11;91,80
1992;10;91,60
1992;9;91,40
1992;8;91,30
1992;7;91,20
1992;6;91,10
1992;5;91,00
1992;4;90,80
1992;3;90,60
1992;2;90,50
1992;1;90,20
1991;12;90,20
1991;11;90,30
1991;10;89,90
1991;9;89,50
1991;8;89,50
1991;7;89,20
1991;6;88,90
1991;5;88,50
1991;4;88,30
1991;3;88,00
1991;2;88,00
1991;1;87,90
1990;12;87,50
1990;11;87,50
1990;10;87,50
1990;9;87,20
1990;8;86,70
1990;7;86,00
1990;6;85,90
1990;5;85,70
1990;4;85,60
1990;3;85,10
1990;2;85,10
1990;1;85,10
